type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	alf							2009-07-29		Alege
language	alg					collection		2005-10-16		Algonquian languages
language	alh							2009-07-29		Alawa
language	ali							2009-07-29		Amaimon
language	alj							2009-07-29		Alangan
language	alk							2009-07-29		Alak
language	all							2009-07-29		Allar
language	alm							2009-07-29		Amblong
language	aln				sq			2009-07-29		Gheg Albanian
language	alo							2009-07-29		Larike-Wakasihu
language	alp							2009-07-29		Alune
language	alq							2009-07-29		Algonquin
language	alr							2009-07-29		Alutor
language	als				sq			2009-07-29		Tosk Albanian
language	alt							2005-10-16		Southern Altai
language	alu							2009-07-29		'Are'are
language	alv					collection		2009-07-29		Atlantic-Congo languages
language	alw							2009-07-29		Alaba-K’abeena | Wanbasana
language	alx							2009-07-29		Amol
language	aly							2009-07-29		Alyawarr
language	alz							2009-07-29		Alur
language	am			Ethi				2005-10-16		Amharic
language	ama							2009-07-29		Amanayé
language	amb							2009-07-29		Ambo
language	amc							2009-07-29		Amahuaca
language	ame							2009-07-29		Yanesha'
language	amf							2009-07-29		Hamer-Banna
language	amg							2009-07-29		Amurdak
language	ami							2009-07-29		Amis
language	amj							2009-07-29		Amdang
language	amk							2009-07-29		Ambai
language	aml							2009-07-29		War-Jaintia
language	amm							2009-07-29		Ama (Papua New Guinea)
language	amn							2009-07-29		Amanab
language	amo							2009-07-29		Amo
language	amp							2009-07-29		Alamblak
language	amq							2009-07-29		Amahai
language	amr							2009-07-29		Amarakaeri
language	ams							2009-07-29		Southern Amami-Oshima
language	amt							2009-07-29		Amto
language	amu							2009-07-29		Guerrero Amuzgo
language	amv							2009-07-29		Ambelau
language	amw							2009-07-29		Western Neo-Aramaic
language	amx							2009-07-29		Anmatyerre
language	amy							2009-07-29		Ami
language	amz							2009-07-29		Atampaya
language	an							2005-10-16		Aragonese
language	ana							2009-07-29		Andaqui
language	anb							2009-07-29		Andoa
language	anc							2009-07-29		Ngas
language	and							2009-07-29		Ansus
language	ane							2009-07-29		Xârâcùù
language	anf							2009-07-29		Animere
language	ang							2005-10-16		Old English (ca. 450-1100)
language	anh							2009-07-29		Nend
language	ani							2009-07-29		Andi
language	anj							2009-07-29		Anor
language	ank							2009-07-29		Goemai
language	anl							2009-07-29		Anu-Hkongso Chin
language	anm							2009-07-29		Anal
language	ann							2009-07-29		Obolo
language	ano							2009-07-29		Andoque
language	anp							2006-03-08		Angika
language	anq							2009-07-29		Jarawa (India)
language	anr							2009-07-29		Andh
language	ans							2009-07-29		Anserma
language	ant							2009-07-29		Antakarinya | Antikarinya
language	anu							2009-07-29		Anuak
language	anv							2009-07-29		Denya
language	anw							2009-07-29		Anaang
language	anx							2009-07-29		Andra-Hus
language	any							2009-07-29		Anyin
language	anz							2009-07-29		Anem
language	aoa							2009-07-29		Angolar
language	aob							2009-07-29		Abom
language	aoc							2009-07-29		Pemon
language	aod							2009-07-29		Andarum
language	aoe							2009-07-29		Angal Enen
language	aof							2009-07-29		Bragat
language	aog							2009-07-29		Angoram
language	aoh						2020-03-28	2009-07-29		Arma
language	aoi							2009-07-29		Anindilyakwa
language	aoj							2009-07-29		Mufian
language	aok							2009-07-29		Arhö
language	aol							2009-07-29		Alor
language	aom							2009-07-29		Ömie
language	aon							2009-07-29		Bumbita Arapesh
language	aor							2009-07-29		Aore
language	aos							2009-07-29		Taikat
language	aot							2009-07-29		Atong (India) | A'tong
language	aou							2012-08-12		A'ou
language	aox							2009-07-29		Atorada
language	aoz							2009-07-29		Uab Meto
language	apa					collection		2005-10-16		Apache languages
language	apb							2009-07-29		Sa'a
language	apc				ar			2009-07-29		Levantine Arabic
language	apd				ar			2009-07-29		Sudanese Arabic
language	ape							2009-07-29		Bukiyip
language	apf							2010-03-11		Pahanan Agta
language	apg							2009-07-29		Ampanang
language	aph							2009-07-29		Athpariya
language	api							2009-07-29		Apiaká
language	apj							2009-07-29		Jicarilla Apache
language	apk							2009-07-29		Kiowa Apache
language	apl							2009-07-29		Lipan Apache
language	apm							2009-07-29		Mescalero-Chiricahua Apache
language	apn							2009-07-29		Apinayé
language	apo							2009-07-29		Ambul
language	app							2009-07-29		Apma
language	apq							2009-07-29		A-Pucikwar
language	apr							2009-07-29		Arop-Lokep
language	aps							2009-07-29		Arop-Sissano
language	apt							2009-07-29		Apatani
language	apu							2009-07-29		Apurinã
language	apv							2009-07-29		Alapmunte
language	apw							2009-07-29		Western Apache
language	apx							2009-07-29		Aputai
language	apy							2009-07-29		Apalaí
language	apz							2009-07-29		Safeyoka
language	aqa					collection		2009-07-29		Alacalufan languages
language	aqc							2009-07-29		Archi
language	aqd							2011-08-16		Ampari Dogon
language	aqg							2009-07-29		Arigidi
language	aqk							2021-02-20		Aninka
language	aql					collection		2009-07-29		Algic languages
language	aqm							2009-07-29		Atohwaim
language	aqn							2009-07-29		Northern Alta
language	aqp							2009-07-29		Atakapa
language	aqr							2009-07-29		Arhâ
language	aqt							2014-02-28		Angaité
language	aqz							2010-03-11		Akuntsu
language	ar			Arab		macrolanguage		2005-10-16		Arabic
language	arb				ar			2009-07-29		Standard Arabic
language	arc							2005-10-16		Official Aramaic (700-300 BCE) | Imperial Aramaic (700-300 BCE)
language	ard							2009-07-29		Arabana
language	are							2009-07-29		Western Arrarnta
language	arh							2009-07-29		Arhuaco
language	ari							2009-07-29		Arikara
