scope	sourceId	predicateId	targetId
sense	oewn-ability__1.07.00..	antonym	oewn-inability__1.07.00..
sense	oewn-ability__1.07.00..	derivation	oewn-able__3.00.00..
sense	oewn-ability__1.07.00..	derivation	oewn-able__5.00.00.capable.00
sense	oewn-ability__1.07.00..	derivation	oewn-able__5.00.00.competent.00
sense	oewn-ability__1.09.00..	antonym	oewn-inability__1.09.00..
sense	oewn-ability__1.09.00..	derivation	oewn-able__3.00.00..
sense	oewn-ability__1.09.00..	derivation	oewn-able__5.00.00.capable.00
sense	oewn-ability__1.09.00..	derivation	oewn-able__5.00.00.competent.00
sense	oewn-abiogenesis__1.19.00..	derivation	oewn-abiogenetic__3.01.00..
sense	oewn-abiogenesis__1.19.00..	derivation	oewn-abiogenist__1.18.00..
sense	oewn-abiogenetic__3.01.00..	derivation	oewn-abiogenesis__1.19.00..
sense	oewn-abiogenetic__3.01.00..	pertainym	oewn-abiogenesis__1.19.00..
sense	oewn-abiogenist__1.18.00..	derivation	oewn-abiogenesis__1.19.00..
sense	oewn-abjectly__4.02.00..	pertainym	oewn-abject__5.00.00.hopeless.00
sense	oewn-abjuration__1.10.00..	derivation	oewn-abjure__2.32.00..
sense	oewn-abjure__2.32.00..	derivation	oewn-abjuration__1.10.00..
sense	oewn-abjure__2.32.00..	derivation	oewn-abjurer__1.18.00..
sense	oewn-abjure__2.32.00..	other	oewn-abjuration__1.10.00..
sense	oewn-abjurer__1.18.00..	derivation	oewn-abjure__2.32.00..
sense	oewn-ablate__2.30.00..	derivation	oewn-ablation__1.22.00..
sense	oewn-ablate__2.30.00..	derivation	oewn-ablative__5.00.00.subtractive.00
sense	oewn-ablate__2.30.00..	other	oewn-ablation__1.22.00..
sense	oewn-ablate__2.30.10..	derivation	oewn-ablation__1.04.00..
sense	oewn-ablate__2.30.10..	other	oewn-ablation__1.04.00..
sense	oewn-ablation__1.04.00..	derivation	oewn-ablate__2.30.10..
sense	oewn-ablation__1.22.00..	derivation	oewn-ablate__2.30.00..
sense	oewn-ablative__3.01.00..	pertainym	oewn-ablative__1.10.00..
sense	oewn-ablative__5.00.00.subtractive.00	derivation	oewn-ablate__2.30.00..
sense	oewn-able__3.00.00..	antonym	oewn-unable__3.00.00..
sense	oewn-able__3.00.00..	derivation	oewn-ability__1.07.00..
sense	oewn-able__3.00.00..	derivation	oewn-ability__1.09.00..
sense	oewn-able__5.00.00.capable.00	derivation	oewn-ability__1.07.00..
sense	oewn-able__5.00.00.capable.00	derivation	oewn-ability__1.09.00..
sense	oewn-able__5.00.00.competent.00	derivation	oewn-ability__1.07.00..
sense	oewn-able__5.00.00.competent.00	derivation	oewn-ability__1.09.00..
sense	oewn-ablution__1.04.00..	derivation	oewn-ablutionary__5.00.00.purifying.00
sense	oewn-ablutionary__5.00.00.purifying.00	derivation	oewn-ablution__1.04.00..
sense	oewn-ably__4.02.00..	pertainym	oewn-able__5.00.00.competent.00
sense	oewn-abnaki__3.01.00..	pertainym	oewn-abnaki__1.18.00..
sense	oewn-abnegate__2.32.00..	derivation	oewn-abnegation__1.10.00..
sense	oewn-abnegate__2.32.00..	derivation	oewn-abnegator__1.18.00..
sense	oewn-abnegate__2.32.00..	other	oewn-abnegation__1.10.00..
sense	oewn-abnegate__2.32.00..	other	oewn-abnegator__1.18.00..
sense	oewn-abnegate__2.33.00..	derivation	oewn-abnegator__1.18.00..
sense	oewn-abnegate__2.33.00..	other	oewn-abnegator__1.18.00..
sense	oewn-abnegate__2.40.00..	derivation	oewn-abnegation__1.04.00..
sense	oewn-abnegate__2.40.00..	other	oewn-abnegation__1.04.00..
sense	oewn-abnegation__1.04.00..	derivation	oewn-abnegate__2.40.00..
sense	oewn-abnegation__1.10.00..	derivation	oewn-abnegate__2.32.00..
sense	oewn-abnegator__1.18.00..	derivation	oewn-abnegate__2.32.00..
sense	oewn-abnegator__1.18.00..	derivation	oewn-abnegate__2.33.00..
sense	oewn-abnormal__3.00.00..	antonym	oewn-normal__3.00.01..
sense	oewn-abnormal__3.00.00..	derivation	oewn-abnormality__1.04.00..
sense	oewn-abnormal__3.00.00..	derivation	oewn-abnormality__1.26.00..
sense	oewn-abnormal__3.00.03..	antonym	oewn-normal__3.00.03..
sense	oewn-abnormal__3.00.03..	derivation	oewn-abnormality__1.09.01..
sense	oewn-abnormality__1.04.00..	derivation	oewn-abnormal__3.00.00..
sense	oewn-abnormality__1.09.01..	derivation	oewn-abnormal__3.00.03..
sense	oewn-abnormality__1.26.00..	antonym	oewn-normality__1.26.00..
sense	oewn-abnormality__1.26.00..	derivation	oewn-abnormal__3.00.00..
sense	oewn-abnormally__4.02.00..	pertainym	oewn-abnormal__3.00.00..
