table	leftCategory	rightCategory
BC	X00143	S00319
BC	X00143	S00321
BC	X00143	S00326
BC	X00143	S00331
BC	X00143	S00336
BC	X00143	S00347
BC	X00143	S00353
BC	X00143	S00359
BC	X00143	S00363
BC	X00143	S00390
BC	X00143	S00394
BC	X00143	S00399
BC	X00143	S00406
BC	X00143	S00411
BC	X00143	S00459
BC	X00144	S00162
BC	X00144	S00179
BC	X00144	S00187
BC	X00144	S00204
BC	X00144	S00297
BC	X00144	S00316
BC	X00144	S00369
BC	X00144	S00386
BC	X00144	S00438
BC	X00144	S00456
BC	X00145	S00253
BC	X00145	S00256
BC	X00145	S00258
BC	X00145	S00259
BC	X00145	S00260
BC	X00145	S00264
BC	X00145	S00265
BC	X00145	S00271
BC	X00145	S00273
BC	X00145	S00275
BC	X00145	S00278
BC	X00145	S00280
BC	X00145	S00283
BC	X00145	S00285
BC	X00145	S00288
BC	X00145	S00290
BC	X00145	S00413
BC	X00145	S00417
BC	X00145	S00419
BC	X00145	S00422
BC	X00145	S00424
BC	X00145	S00427
BC	X00145	S00429
BC	X00145	S00432
BC	X00146	S00155
BC	X00146	S00156
BC	X00146	S00207
BC	X00146	S00208
BC	X00146	S00212
BC	X00146	S00213
BC	X00146	S00217
BC	X00146	S00218
BC	X00146	S00221
BC	X00146	S00223
BC	X00146	S00227
BC	X00146	S00228
BC	X00146	S00231
BC	X00146	S00232
BC	X00146	S00237
BC	X00146	S00241
BC	X00146	S00243
BC	X00146	S00244
BC	X00146	S00249
BC	X00146	S00250
BC	X00146	S00293
BC	X00146	S00319
BC	X00146	S00320
BC	X00146	S00321
BC	X00146	S00325
BC	X00146	S00326
BC	X00146	S00329
BC	X00146	S00331
BC	X00146	S00335
BC	X00146	S00336
BC	X00146	S00345
BC	X00146	S00347
BC	X00146	S00348
BC	X00146	S00353
BC	X00146	S00357
BC	X00146	S00359
BC	X00146	S00361
BC	X00146	S00363
BC	X00146	S00388
BC	X00146	S00390
BC	X00146	S00392
BC	X00146	S00394
BC	X00146	S00398
BC	X00146	S00399
BC	X00146	S00402
BC	X00146	S00406
BC	X00146	S00410
BC	X00146	S00411
BC	X00146	S00458
BC	X00146	S00459
BC	X00147	S00164
BC	X00147	S00180
BC	X00147	S00189
BC	X00147	S00205
BC	X00147	S00301
BC	X00147	S00317
BC	X00147	S00371
BC	X00147	S00387
BC	X00147	S00441
BC	X00147	S00457
BC	X00148	S00253
BC	X00148	S00258
BC	X00148	S00260
BC	X00148	S00265
BC	X00148	S00275
BC	X00148	S00280
BC	X00148	S00285
BC	X00148	S00290
BC	X00148	S00419
BC	X00148	S00424
BC	X00148	S00429
BC	X00148	S00432
BC	X00149	S00175
BC	X00149	S00200
BC	X00149	S00312
BC	X00149	S00382
BC	X00149	S00452
BC	X00150	S00156
BC	X00150	S00208
BC	X00150	S00213
BC	X00150	S00218
BC	X00150	S00223
BC	X00150	S00228
BC	X00150	S00231
BC	X00150	S00237
BC	X00150	S00243
BC	X00150	S00249
BC	X00150	S00319
BC	X00150	S00321
BC	X00150	S00326
BC	X00150	S00331
BC	X00150	S00336
BC	X00150	S00347
BC	X00150	S00353
BC	X00150	S00359
BC	X00150	S00363
BC	X00150	S00390
BC	X00150	S00394
BC	X00150	S00399
BC	X00150	S00406
BC	X00150	S00411
BC	X00150	S00459
BC	X00151	S00173
BC	X00151	S00198
BC	X00151	S00231
BC	X00151	S00237
BC	X00151	S00243
BC	X00151	S00249
BC	X00151	S00310
BC	X00151	S00347
BC	X00151	S00353
BC	X00151	S00359
BC	X00151	S00363
BC	X00151	S00380
BC	X00151	S00450
BC	X00152	S00156
BC	X00152	S00208
BC	X00152	S00213
BC	X00152	S00218
BC	X00152	S00223
BC	X00152	S00228
BC	X00152	S00257
BC	X00152	S00263
BC	X00152	S00268
BC	X00152	S00272
BC	X00152	S00274
BC	X00152	S00279
BC	X00152	S00284
BC	X00152	S00289
BC	X00152	S00319
BC	X00152	S00321
BC	X00152	S00326
BC	X00152	S00331
BC	X00152	S00336
BC	X00152	S00390
BC	X00152	S00394
BC	X00152	S00399
BC	X00152	S00406
BC	X00152	S00411
BC	X00152	S00414
BC	X00152	S00418
BC	X00152	S00423
BC	X00152	S00428
BC	X00152	S00459
BC	X00153	S00161
BC	X00153	S00177
BC	X00153	S00186
BC	X00153	S00201
BC	X00153	S00299
BC	X00153	S00314
BC	X00153	S00368
BC	X00153	S00384
BC	X00153	S00437
BC	X00153	S00454
BC	X00154	S00163
BC	X00154	S00178
BC	X00154	S00188
BC	X00154	S00203
BC	X00154	S00300
BC	X00154	S00315
BC	X00154	S00370
BC	X00154	S00385
BC	X00154	S00440
BC	X00154	S00455
BC	X00155	S00172
BC	X00155	S00173
BC	X00155	S00196
BC	X00155	S00198
BC	X00155	S00231
BC	X00155	S00232
BC	X00155	S00237
BC	X00155	S00241
BC	X00155	S00243
BC	X00155	S00244
BC	X00155	S00249
BC	X00155	S00250
BC	X00155	S00308
BC	X00155	S00310
BC	X00155	S00345
BC	X00155	S00347
BC	X00155	S00348
BC	X00155	S00353
BC	X00155	S00357
BC	X00155	S00359
BC	X00155	S00361
BC	X00155	S00363
BC	X00155	S00379
BC	X00155	S00380
BC	X00155	S00448
BC	X00155	S00450
BC	X00156	S00155
BC	X00156	S00156
BC	X00156	S00207
BC	X00156	S00208
BC	X00156	S00212
BC	X00156	S00213
BC	X00156	S00217
BC	X00156	S00218
BC	X00156	S00221
BC	X00156	S00223
BC	X00156	S00227
BC	X00156	S00228
BC	X00156	S00255
BC	X00156	S00257
BC	X00156	S00262
BC	X00156	S00263
BC	X00156	S00266
BC	X00156	S00268
BC	X00156	S00269
BC	X00156	S00272
BC	X00156	S00274
BC	X00156	S00277
BC	X00156	S00279
BC	X00156	S00282
BC	X00156	S00284
BC	X00156	S00287
BC	X00156	S00289
BC	X00156	S00292
BC	X00156	S00293
BC	X00156	S00319
BC	X00156	S00320
BC	X00156	S00321
BC	X00156	S00325
BC	X00156	S00326
BC	X00156	S00329
BC	X00156	S00331
BC	X00156	S00335
BC	X00156	S00336
BC	X00156	S00388
BC	X00156	S00390
BC	X00156	S00392
BC	X00156	S00394
BC	X00156	S00398
BC	X00156	S00399
BC	X00156	S00402
BC	X00156	S00406
BC	X00156	S00410
BC	X00156	S00411
BC	X00156	S00414
BC	X00156	S00415
BC	X00156	S00418
BC	X00156	S00420
BC	X00156	S00423
BC	X00156	S00426
BC	X00156	S00428
BC	X00156	S00431
BC	X00156	S00458
BC	X00156	S00459
BC	X00157	S00161
BC	X00157	S00177
BC	X00157	S00186
BC	X00157	S00201
BC	X00157	S00299
BC	X00157	S00314
BC	X00157	S00368
BC	X00157	S00384
BC	X00157	S00437
BC	X00157	S00454
BC	X00158	S00163
BC	X00158	S00178
BC	X00158	S00188
BC	X00158	S00203
BC	X00158	S00300
BC	X00158	S00315
BC	X00158	S00370
BC	X00158	S00385
BC	X00158	S00440
BC	X00158	S00455
BC	X00159	S00172
BC	X00159	S00173
BC	X00159	S00196
BC	X00159	S00198
BC	X00159	S00231
BC	X00159	S00232
BC	X00159	S00237
BC	X00159	S00241
BC	X00159	S00243
BC	X00159	S00244
BC	X00159	S00249
BC	X00159	S00250
BC	X00159	S00308
BC	X00159	S00310
BC	X00159	S00345
BC	X00159	S00347
BC	X00159	S00348
BC	X00159	S00353
BC	X00159	S00357
BC	X00159	S00359
BC	X00159	S00361
BC	X00159	S00363
BC	X00159	S00379
BC	X00159	S00380
BC	X00159	S00448
BC	X00159	S00450
BC	X00160	S00155
BC	X00160	S00156
BC	X00160	S00207
BC	X00160	S00208
BC	X00160	S00212
BC	X00160	S00213
BC	X00160	S00217
BC	X00160	S00218
BC	X00160	S00221
BC	X00160	S00223
BC	X00160	S00227
BC	X00160	S00228
BC	X00160	S00255
BC	X00160	S00257
BC	X00160	S00262
BC	X00160	S00263
BC	X00160	S00266
BC	X00160	S00268
BC	X00160	S00269
BC	X00160	S00272
BC	X00160	S00274
BC	X00160	S00277
BC	X00160	S00279
BC	X00160	S00282
BC	X00160	S00284
BC	X00160	S00287
BC	X00160	S00289
BC	X00160	S00292
BC	X00160	S00293
BC	X00160	S00319
BC	X00160	S00320
BC	X00160	S00321
BC	X00160	S00325
BC	X00160	S00326
BC	X00160	S00329
BC	X00160	S00331
BC	X00160	S00335
BC	X00160	S00336
BC	X00160	S00388
BC	X00160	S00390
BC	X00160	S00392
BC	X00160	S00394
BC	X00160	S00398
BC	X00160	S00399
BC	X00160	S00402
BC	X00160	S00406
BC	X00160	S00410
BC	X00160	S00411
BC	X00160	S00414
BC	X00160	S00415
BC	X00160	S00418
BC	X00160	S00420
BC	X00160	S00423
BC	X00160	S00426
BC	X00160	S00428
BC	X00160	S00431
BC	X00160	S00458
BC	X00160	S00459
BC	X00161	S00157
BC	X00161	S00159
BC	X00161	S00177
BC	X00161	S00178
BC	X00161	S00182
BC	X00161	S00184
BC	X00161	S00201
BC	X00161	S00203
BC	X00161	S00294
BC	X00161	S00296
BC	X00161	S00314
BC	X00161	S00315
BC	X00161	S00365
BC	X00161	S00366
BC	X00161	S00384
BC	X00161	S00385
BC	X00161	S00434
BC	X00161	S00436
BC	X00161	S00454
BC	X00161	S00455
BC	X00162	S00255
BC	X00162	S00257
BC	X00162	S00262
BC	X00162	S00263
BC	X00162	S00266
BC	X00162	S00268
BC	X00162	S00277
BC	X00162	S00279
BC	X00162	S00282
BC	X00162	S00284
BC	X00162	S00287
BC	X00162	S00289
BC	X00162	S00415
BC	X00162	S00418
BC	X00162	S00420
BC	X00162	S00423
BC	X00162	S00426
BC	X00162	S00428
BC	X00163	S00165
BC	X00163	S00167
BC	X00163	S00190
BC	X00163	S00192
BC	X00163	S00303
BC	X00163	S00304
BC	X00163	S00373
BC	X00163	S00374
BC	X00163	S00443
BC	X00163	S00444
BC	X00164	S00155
BC	X00164	S00156
BC	X00164	S00207
BC	X00164	S00208
BC	X00164	S00212
BC	X00164	S00213
BC	X00164	S00217
BC	X00164	S00218
BC	X00164	S00221
BC	X00164	S00223
BC	X00164	S00227
BC	X00164	S00228
BC	X00164	S00231
BC	X00164	S00232
BC	X00164	S00237
BC	X00164	S00241
BC	X00164	S00243
BC	X00164	S00244
BC	X00164	S00249
BC	X00164	S00250
BC	X00164	S00269
BC	X00164	S00272
BC	X00164	S00274
BC	X00164	S00292
BC	X00164	S00293
BC	X00164	S00319
BC	X00164	S00320
BC	X00164	S00321
BC	X00164	S00325
BC	X00164	S00326
BC	X00164	S00329
BC	X00164	S00331
BC	X00164	S00335
BC	X00164	S00336
BC	X00164	S00345
BC	X00164	S00347
BC	X00164	S00348
BC	X00164	S00353
BC	X00164	S00357
BC	X00164	S00359
BC	X00164	S00361
BC	X00164	S00363
BC	X00164	S00388
BC	X00164	S00390
BC	X00164	S00392
BC	X00164	S00394
BC	X00164	S00398
BC	X00164	S00399
BC	X00164	S00402
BC	X00164	S00406
BC	X00164	S00410
BC	X00164	S00411
BC	X00164	S00414
BC	X00164	S00431
BC	X00164	S00458
BC	X00164	S00459
BC	X00165	S00159
BC	X00165	S00178
BC	X00165	S00184
BC	X00165	S00203
BC	X00165	S00296
BC	X00165	S00315
BC	X00165	S00366
BC	X00165	S00385
BC	X00165	S00436
BC	X00165	S00455
BC	X00166	S00167
BC	X00166	S00192
BC	X00166	S00304
BC	X00166	S00374
BC	X00166	S00444
BC	X00167	S00156
BC	X00167	S00208
BC	X00167	S00213
BC	X00167	S00218
BC	X00167	S00223
BC	X00167	S00228
BC	X00167	S00231
BC	X00167	S00237
BC	X00167	S00243
BC	X00167	S00249
BC	X00167	S00272
BC	X00167	S00274
BC	X00167	S00319
BC	X00167	S00321
BC	X00167	S00326
BC	X00167	S00331
BC	X00167	S00336
BC	X00167	S00347
BC	X00167	S00353
BC	X00167	S00359
BC	X00167	S00363
BC	X00167	S00390
BC	X00167	S00394
BC	X00167	S00399
BC	X00167	S00406
BC	X00167	S00411
BC	X00167	S00414
BC	X00167	S00459
BC	X00168	S00157
BC	X00168	S00158
BC	X00168	S00159
BC	X00168	S00176
BC	X00168	S00177
BC	X00168	S00178
BC	X00168	S00182
BC	X00168	S00183
BC	X00168	S00184
BC	X00168	S00201
BC	X00168	S00202
BC	X00168	S00203
BC	X00168	S00294
BC	X00168	S00295
BC	X00168	S00296
BC	X00168	S00313
BC	X00168	S00314
BC	X00168	S00315
BC	X00168	S00364
BC	X00168	S00365
BC	X00168	S00366
BC	X00168	S00383
BC	X00168	S00384
BC	X00168	S00385
BC	X00168	S00434
BC	X00168	S00435
BC	X00168	S00436
BC	X00168	S00453
BC	X00168	S00454
BC	X00168	S00455
BC	X00169	S00254
BC	X00169	S00255
BC	X00169	S00257
BC	X00169	S00261
BC	X00169	S00262
BC	X00169	S00263
BC	X00169	S00266
BC	X00169	S00267
BC	X00169	S00268
BC	X00169	S00276
BC	X00169	S00277
BC	X00169	S00279
BC	X00169	S00281
BC	X00169	S00282
BC	X00169	S00284
BC	X00169	S00286
BC	X00169	S00287
BC	X00169	S00289
BC	X00169	S00415
BC	X00169	S00416
BC	X00169	S00418
BC	X00169	S00420
BC	X00169	S00421
BC	X00169	S00423
BC	X00169	S00425
BC	X00169	S00426
BC	X00169	S00428
BC	X00170	S00165
BC	X00170	S00166
BC	X00170	S00167
BC	X00170	S00190
BC	X00170	S00191
BC	X00170	S00192
BC	X00170	S00302
BC	X00170	S00303
BC	X00170	S00304
BC	X00170	S00372
BC	X00170	S00373
BC	X00170	S00374
BC	X00170	S00442
BC	X00170	S00443
BC	X00170	S00444
BC	X00171	S00155
BC	X00171	S00156
BC	X00171	S00181
BC	X00171	S00206
BC	X00171	S00207
BC	X00171	S00208
BC	X00171	S00211
BC	X00171	S00212
BC	X00171	S00213
BC	X00171	S00216
BC	X00171	S00217
BC	X00171	S00218
BC	X00171	S00221
BC	X00171	S00222
BC	X00171	S00223
BC	X00171	S00226
BC	X00171	S00227
BC	X00171	S00228
BC	X00171	S00229
BC	X00171	S00231
BC	X00171	S00232
BC	X00171	S00234
BC	X00171	S00237
BC	X00171	S00239
BC	X00171	S00241
BC	X00171	S00243
BC	X00171	S00244
BC	X00171	S00246
BC	X00171	S00249
BC	X00171	S00250
BC	X00171	S00269
BC	X00171	S00270
BC	X00171	S00272
BC	X00171	S00274
BC	X00171	S00291
BC	X00171	S00292
BC	X00171	S00293
BC	X00171	S00318
BC	X00171	S00319
BC	X00171	S00320
BC	X00171	S00321
BC	X00171	S00324
BC	X00171	S00325
BC	X00171	S00326
BC	X00171	S00329
BC	X00171	S00330
BC	X00171	S00331
BC	X00171	S00334
BC	X00171	S00335
BC	X00171	S00336
BC	X00171	S00339
BC	X00171	S00342
BC	X00171	S00345
BC	X00171	S00347
BC	X00171	S00348
BC	X00171	S00350
BC	X00171	S00353
BC	X00171	S00355
BC	X00171	S00357
BC	X00171	S00359
BC	X00171	S00360
BC	X00171	S00361
BC	X00171	S00363
BC	X00171	S00388
BC	X00171	S00389
BC	X00171	S00390
BC	X00171	S00392
BC	X00171	S00393
BC	X00171	S00394
BC	X00171	S00397
BC	X00171	S00398
BC	X00171	S00399
BC	X00171	S00402
BC	X00171	S00403
BC	X00171	S00406
BC	X00171	S00409
BC	X00171	S00410
BC	X00171	S00411
BC	X00171	S00414
BC	X00171	S00430
BC	X00171	S00431
BC	X00171	S00433
BC	X00171	S00458
BC	X00171	S00459
BC	X00172	S00159
BC	X00172	S00178
BC	X00172	S00184
BC	X00172	S00203
BC	X00172	S00296
BC	X00172	S00315
BC	X00172	S00366
BC	X00172	S00385
BC	X00172	S00436
BC	X00172	S00455
BC	X00173	S00257
BC	X00173	S00263
BC	X00173	S00268
BC	X00173	S00279
BC	X00173	S00284
BC	X00173	S00289
BC	X00173	S00418
BC	X00173	S00423
BC	X00173	S00428
BC	X00174	S00167
BC	X00174	S00192
BC	X00174	S00304
BC	X00174	S00374
BC	X00174	S00444
BC	X00175	S00156
BC	X00175	S00208
BC	X00175	S00213
BC	X00175	S00218
BC	X00175	S00223
BC	X00175	S00228
BC	X00175	S00231
BC	X00175	S00237
BC	X00175	S00243
BC	X00175	S00249
BC	X00175	S00272
BC	X00175	S00274
BC	X00175	S00319
BC	X00175	S00321
BC	X00175	S00326
BC	X00175	S00331
BC	X00175	S00336
BC	X00175	S00347
BC	X00175	S00353
BC	X00175	S00359
BC	X00175	S00363
BC	X00175	S00390
BC	X00175	S00394
BC	X00175	S00399
BC	X00175	S00406
BC	X00175	S00411
BC	X00175	S00414
BC	X00175	S00459
BC	X00176	S00255
BC	X00176	S00257
BC	X00176	S00262
BC	X00176	S00263
BC	X00176	S00266
BC	X00176	S00268
BC	X00176	S00277
BC	X00176	S00279
BC	X00176	S00282
BC	X00176	S00284
BC	X00176	S00287
BC	X00176	S00289
BC	X00176	S00415
BC	X00176	S00418
BC	X00176	S00420
BC	X00176	S00423
BC	X00176	S00426
BC	X00176	S00428
BC	X00177	S00257
BC	X00177	S00263
BC	X00177	S00268
BC	X00178	S00156
BC	X00178	S00163
BC	X00178	S00173
BC	X00178	S00178
BC	X00178	S00188
BC	X00178	S00198
BC	X00178	S00203
BC	X00178	S00208
BC	X00178	S00213
BC	X00178	S00218
BC	X00178	S00223
BC	X00178	S00228
BC	X00178	S00231
BC	X00178	S00237
BC	X00178	S00243
BC	X00178	S00249
BC	X00178	S00272
BC	X00178	S00274
BC	X00178	S00279
BC	X00178	S00284
BC	X00178	S00289
BC	X00178	S00300
BC	X00178	S00310
BC	X00178	S00315
BC	X00178	S00319
BC	X00178	S00321
BC	X00178	S00326
BC	X00178	S00331
BC	X00178	S00336
BC	X00178	S00347
BC	X00178	S00353
BC	X00178	S00359
BC	X00178	S00363
BC	X00178	S00370
BC	X00178	S00380
BC	X00178	S00385
BC	X00178	S00390
BC	X00178	S00394
BC	X00178	S00399
BC	X00178	S00406
BC	X00178	S00411
BC	X00178	S00414
BC	X00178	S00418
BC	X00178	S00423
BC	X00178	S00428
BC	X00178	S00440
BC	X00178	S00450
BC	X00178	S00455
BC	X00178	S00459
BC	X00179	S00255
BC	X00179	S00257
BC	X00179	S00262
BC	X00179	S00263
BC	X00179	S00266
BC	X00179	S00268
BC	X00180	S00155
BC	X00180	S00156
BC	X00180	S00161
BC	X00180	S00163
BC	X00180	S00172
BC	X00180	S00173
BC	X00180	S00177
BC	X00180	S00178
BC	X00180	S00186
BC	X00180	S00188
BC	X00180	S00196
BC	X00180	S00198
BC	X00180	S00201
BC	X00180	S00203
BC	X00180	S00207
BC	X00180	S00208
BC	X00180	S00212
BC	X00180	S00213
BC	X00180	S00217
BC	X00180	S00218
BC	X00180	S00221
BC	X00180	S00223
BC	X00180	S00227
BC	X00180	S00228
BC	X00180	S00231
BC	X00180	S00232
BC	X00180	S00237
BC	X00180	S00241
BC	X00180	S00243
BC	X00180	S00244
BC	X00180	S00249
BC	X00180	S00250
BC	X00180	S00269
BC	X00180	S00272
BC	X00180	S00274
BC	X00180	S00277
BC	X00180	S00279
BC	X00180	S00282
BC	X00180	S00284
BC	X00180	S00287
BC	X00180	S00289
BC	X00180	S00292
BC	X00180	S00293
BC	X00180	S00299
BC	X00180	S00300
BC	X00180	S00308
BC	X00180	S00310
BC	X00180	S00314
BC	X00180	S00315
BC	X00180	S00319
BC	X00180	S00320
BC	X00180	S00321
BC	X00180	S00325
BC	X00180	S00326
BC	X00180	S00329
BC	X00180	S00331
BC	X00180	S00335
BC	X00180	S00336
BC	X00180	S00345
BC	X00180	S00347
BC	X00180	S00348
BC	X00180	S00353
BC	X00180	S00357
BC	X00180	S00359
BC	X00180	S00361
BC	X00180	S00363
BC	X00180	S00368
BC	X00180	S00370
BC	X00180	S00379
BC	X00180	S00380
BC	X00180	S00384
BC	X00180	S00385
BC	X00180	S00388
BC	X00180	S00390
BC	X00180	S00392
BC	X00180	S00394
BC	X00180	S00398
BC	X00180	S00399
BC	X00180	S00402
BC	X00180	S00406
BC	X00180	S00410
BC	X00180	S00411
BC	X00180	S00414
BC	X00180	S00415
BC	X00180	S00418
BC	X00180	S00420
BC	X00180	S00423
BC	X00180	S00426
BC	X00180	S00428
BC	X00180	S00431
BC	X00180	S00437
BC	X00180	S00440
BC	X00180	S00448
BC	X00180	S00450
BC	X00180	S00454
BC	X00180	S00455
BC	X00180	S00458
BC	X00180	S00459
BC	X00181	S00155
BC	X00181	S00156
BC	X00181	S00177
BC	X00181	S00178
BC	X00181	S00201
BC	X00181	S00203
BC	X00181	S00207
BC	X00181	S00208
BC	X00181	S00212
BC	X00181	S00213
BC	X00181	S00217
BC	X00181	S00218
BC	X00181	S00221
BC	X00181	S00223
BC	X00181	S00227
BC	X00181	S00228
BC	X00181	S00277
BC	X00181	S00279
BC	X00181	S00282
BC	X00181	S00284
BC	X00181	S00287
BC	X00181	S00289
BC	X00181	S00293
BC	X00181	S00314
BC	X00181	S00315
BC	X00181	S00319
BC	X00181	S00320
BC	X00181	S00321
BC	X00181	S00325
BC	X00181	S00326
BC	X00181	S00329
BC	X00181	S00331
BC	X00181	S00335
BC	X00181	S00336
BC	X00181	S00384
BC	X00181	S00385
BC	X00181	S00388
BC	X00181	S00390
BC	X00181	S00392
BC	X00181	S00394
BC	X00181	S00398
BC	X00181	S00399
BC	X00181	S00402
BC	X00181	S00406
BC	X00181	S00410
BC	X00181	S00411
BC	X00181	S00415
BC	X00181	S00418
BC	X00181	S00420
BC	X00181	S00423
BC	X00181	S00426
BC	X00181	S00428
BC	X00181	S00454
BC	X00181	S00455
BC	X00181	S00458
BC	X00181	S00459
BC	X00182	S00161
BC	X00182	S00163
BC	X00182	S00186
BC	X00182	S00188
BC	X00182	S00299
BC	X00182	S00300
BC	X00182	S00368
BC	X00182	S00370
BC	X00182	S00437
BC	X00182	S00440
BC	X00183	S00274
BC	X00183	S00292
BC	X00183	S00414
BC	X00183	S00431
BC	X00184	S00255
BC	X00184	S00257
BC	X00184	S00262
BC	X00184	S00263
BC	X00184	S00266
BC	X00184	S00268
BC	X00184	S00269
BC	X00184	S00272
BC	X00185	S00162
BC	X00185	S00164
BC	X00185	S00177
BC	X00185	S00178
BC	X00185	S00187
BC	X00185	S00189
BC	X00185	S00201
BC	X00185	S00203
BC	X00185	S00297
BC	X00185	S00301
BC	X00185	S00314
BC	X00185	S00315
BC	X00185	S00369
BC	X00185	S00371
BC	X00185	S00384
BC	X00185	S00385
BC	X00185	S00438
BC	X00185	S00441
BC	X00185	S00454
BC	X00185	S00455
BC	X00186	S00174
BC	X00186	S00175
BC	X00186	S00199
BC	X00186	S00200
BC	X00186	S00311
BC	X00186	S00312
BC	X00186	S00381
BC	X00186	S00382
BC	X00186	S00451
BC	X00186	S00452
BC	X00187	S00155
BC	X00187	S00156
BC	X00187	S00207
BC	X00187	S00208
BC	X00187	S00212
BC	X00187	S00213
BC	X00187	S00217
BC	X00187	S00218
BC	X00187	S00221
BC	X00187	S00223
BC	X00187	S00227
BC	X00187	S00228
BC	X00187	S00231
BC	X00187	S00232
BC	X00187	S00237
BC	X00187	S00241
BC	X00187	S00243
BC	X00187	S00244
BC	X00187	S00249
BC	X00187	S00250
BC	X00187	S00269
BC	X00187	S00272
BC	X00187	S00274
BC	X00187	S00292
BC	X00187	S00293
BC	X00187	S00319
BC	X00187	S00320
BC	X00187	S00321
BC	X00187	S00325
BC	X00187	S00326
BC	X00187	S00329
BC	X00187	S00331
BC	X00187	S00335
BC	X00187	S00336
BC	X00187	S00345
BC	X00187	S00347
BC	X00187	S00348
BC	X00187	S00353
BC	X00187	S00357
BC	X00187	S00359
BC	X00187	S00361
BC	X00187	S00363
BC	X00187	S00388
BC	X00187	S00390
BC	X00187	S00392
BC	X00187	S00394
BC	X00187	S00398
BC	X00187	S00399
BC	X00187	S00404
BC	X00187	S00405
BC	X00187	S00410
BC	X00187	S00411
BC	X00187	S00414
BC	X00187	S00431
BC	X00187	S00458
BC	X00187	S00459
BC	X00188	S00164
BC	X00188	S00178
BC	X00188	S00189
BC	X00188	S00203
BC	X00188	S00301
BC	X00188	S00315
BC	X00188	S00371
BC	X00188	S00385
BC	X00188	S00441
BC	X00188	S00455
BC	X00189	S00257
BC	X00189	S00263
BC	X00189	S00268
BC	X00189	S00279
BC	X00189	S00284
BC	X00189	S00289
BC	X00189	S00418
BC	X00189	S00423
BC	X00189	S00428
BC	X00190	S00156
BC	X00190	S00208
BC	X00190	S00213
BC	X00190	S00218
BC	X00190	S00223
BC	X00190	S00228
BC	X00190	S00231
BC	X00190	S00237
BC	X00190	S00243
BC	X00190	S00249
BC	X00190	S00272
BC	X00190	S00274
BC	X00190	S00319
BC	X00190	S00321
BC	X00190	S00326
BC	X00190	S00331
BC	X00190	S00336
BC	X00190	S00347
BC	X00190	S00353
BC	X00190	S00359
BC	X00190	S00363
BC	X00190	S00390
BC	X00190	S00394
BC	X00190	S00399
BC	X00190	S00405
BC	X00190	S00411
BC	X00190	S00414
BC	X00190	S00459
BC	X00191	S00162
BC	X00191	S00164
BC	X00191	S00177
BC	X00191	S00178
BC	X00191	S00187
BC	X00191	S00189
BC	X00191	S00201
BC	X00191	S00203
BC	X00191	S00297
BC	X00191	S00301
BC	X00191	S00314
BC	X00191	S00315
BC	X00191	S00369
BC	X00191	S00371
BC	X00191	S00384
BC	X00191	S00385
BC	X00191	S00438
BC	X00191	S00441
BC	X00191	S00454
BC	X00191	S00455
BC	X00192	S00255
BC	X00192	S00257
BC	X00192	S00262
BC	X00192	S00263
BC	X00192	S00266
BC	X00192	S00268
BC	X00192	S00277
BC	X00192	S00279
BC	X00192	S00282
BC	X00192	S00284
BC	X00192	S00287
BC	X00192	S00289
BC	X00192	S00415
BC	X00192	S00418
BC	X00192	S00420
BC	X00192	S00423
BC	X00192	S00426
BC	X00192	S00428
BC	X00193	S00155
BC	X00193	S00156
BC	X00193	S00207
BC	X00193	S00208
BC	X00193	S00212
BC	X00193	S00213
BC	X00193	S00217
BC	X00193	S00218
BC	X00193	S00221
BC	X00193	S00223
BC	X00193	S00227
BC	X00193	S00228
BC	X00193	S00231
BC	X00193	S00232
BC	X00193	S00237
BC	X00193	S00241
BC	X00193	S00243
BC	X00193	S00244
BC	X00193	S00249
BC	X00193	S00250
BC	X00193	S00269
BC	X00193	S00272
BC	X00193	S00274
BC	X00193	S00292
BC	X00193	S00293
BC	X00193	S00319
BC	X00193	S00320
BC	X00193	S00321
BC	X00193	S00325
BC	X00193	S00326
BC	X00193	S00329
BC	X00193	S00331
BC	X00193	S00335
BC	X00193	S00336
BC	X00193	S00345
BC	X00193	S00347
BC	X00193	S00348
BC	X00193	S00353
BC	X00193	S00357
BC	X00193	S00359
BC	X00193	S00361
BC	X00193	S00363
BC	X00193	S00388
BC	X00193	S00390
BC	X00193	S00392
BC	X00193	S00394
BC	X00193	S00398
BC	X00193	S00399
BC	X00193	S00404
BC	X00193	S00405
BC	X00193	S00410
BC	X00193	S00411
BC	X00193	S00414
BC	X00193	S00431
BC	X00193	S00458
BC	X00193	S00459
BC	X00194	S00157
BC	X00194	S00159
BC	X00194	S00177
BC	X00194	S00178
BC	X00194	S00182
BC	X00194	S00184
BC	X00194	S00201
BC	X00194	S00203
BC	X00194	S00294
BC	X00194	S00296
BC	X00194	S00314
BC	X00194	S00315
BC	X00194	S00365
BC	X00194	S00366
BC	X00194	S00384
BC	X00194	S00385
BC	X00194	S00434
BC	X00194	S00436
BC	X00194	S00454
BC	X00194	S00455
BC	X00195	S00165
BC	X00195	S00167
BC	X00195	S00190
BC	X00195	S00192
BC	X00195	S00303
BC	X00195	S00304
BC	X00195	S00373
BC	X00195	S00374
BC	X00195	S00443
BC	X00195	S00444
BC	X00196	S00155
BC	X00196	S00156
BC	X00196	S00207
BC	X00196	S00208
BC	X00196	S00212
BC	X00196	S00213
