entry	scowlSize	tags	partOfSpeech	posClass	sourceLineNumber	scowlInfo
from	35		pp		146052	35
gimme	35	+	s		153682	35 [+] 60
given	35		c		154096	35
gonna	35		s		156995	35
gotta	40		s		157858	40
hadn't	40		s		163683	40
half	35		d		164370	35
hasn't	40		s		167003	40
haven't	35		s		167444	35
he	35		pn		167838	35
he'd	40		s		168893	40
he'll	40		s		169511	40
he's	35		s		171497	35
here's	60		s		171029	60
how	35		c		178112	35
how'd	60	extra	s		178126	60 [extra] 80
how're	60	extra	s		178196	60 [extra] 80
how's	60		s		178198	60
however	35		c		178165	35
I	35		pn		182005	35
I'd	40		s	upper?	182658	40
I'll	40		s	upper?	183393	40
I'm	35		s	upper?	183798	35
I've	40		s	upper?	197336	40
idem	60		pn		182780	60
if	35		c		183105	35
in	35		pp		185833	35
in so far as	40		c		191196	40
inasmuch as	35		c		186118	35
